country,age
Albania,37.5
Algeria,27.5
Antigua and Barbuda,32.5
Argentina,32.5
Armenia,32.5
Australia,37.5
Austria,42.5
Azerbaijan,32.5
"Bahamas, The",32.5
Bahrain,32.5
Bangladesh,27.5
Belarus,42.5
Belgium,42.5
Belize,22.5
Benin,17.5
Bhutan,27.5
Bolivia,22.5
Bosnia and Herzegovina,42.5
Botswana,22.5
Brazil,32.5
Brunei Darussalam,32.5
Bulgaria,42.5
Burkina Faso,17.5
Cabo Verde,27.5
Cambodia,22.5
Cameroon,17.5
Canada,42.5
Chile,32.5
China,37.5
Colombia,32.5
"Congo, Dem. Rep.",17.5
Costa Rica,32.5
Croatia,42.5
Cyprus,37.5
Czech Republic,42.5
Denmark,42.5
Dominican Republic,27.5
Ecuador,27.5
"Egypt, Arab Rep.",22.5
El Salvador,27.5
Estonia,42.5
Ethiopia,17.5
Fiji,27.5
Finland,42.5
France,42.5
Georgia,37.5
Germany,47.5
Ghana,22.5
Greece,42.5
Guatemala,22.5
Guinea,17.5
Guyana,27.5
Haiti,22.5
Honduras,22.5
"Hong Kong SAR, China",42.5
Hungary,42.5
Iceland,37.5
India,27.5
Indonesia,27.5
"Iran, Islamic Rep.",32.5
Iraq,22.5
Ireland,37.5
Israel,32.5
Italy,47.5
Jamaica,27.5
Japan,47.5
Jordan,22.5
Kazakhstan,32.5
Kenya,17.5
Kiribati,22.5
"Korea, Rep.",42.5
Kuwait,37.5
Kyrgyz Republic,27.5
Lao PDR,22.5
Latvia,42.5
Lebanon,27.5
Lesotho,22.5
Liberia,17.5
Lithuania,42.5
Luxembourg,37.5
Malaysia,27.5
Maldives,27.5
Malta,42.5
Mauritania,17.5
Mauritius,37.5
Mexico,27.5
Mongolia,27.5
Montenegro,37.5
Morocco,27.5
Mozambique,17.5
Namibia,22.5
Nepal,22.5
Netherlands,42.5
New Zealand,37.5
Nicaragua,27.5
Niger,17.5
Nigeria,17.5
Oman,27.5
Pakistan,22.5
Panama,27.5
Paraguay,27.5
Peru,27.5
Philippines,22.5
Poland,42.5
Portugal,47.5
Qatar,32.5
Romania,42.5
Russian Federation,37.5
Rwanda,17.5
Samoa,22.5
Sao Tome and Principe,17.5
Saudi Arabia,32.5
Senegal,17.5
Serbia,42.5
Seychelles,32.5
Sierra Leone,17.5
Singapore,42.5
Slovak Republic,42.5
Slovenia,42.5
Solomon Islands,17.5
South Africa,27.5
Spain,42.5
Sri Lanka,32.5
Suriname,27.5
Sweden,42.5
Switzerland,42.5
Syrian Arab Republic,22.5
Tajikistan,22.5
Tanzania,17.5
Thailand,37.5
Timor-Leste,22.5
Tonga,22.5
Tunisia,32.5
Turkey,32.5
Uganda,17.5
Ukraine,42.5
United Arab Emirates,32.5
United Kingdom,42.5
United States,37.5
Uruguay,37.5
Uzbekistan,27.5
Vanuatu,22.5
"Venezuela, RB",27.5
Vietnam,32.5
"Yemen, Rep.",17.5
Zambia,17.5
Zimbabwe,17.5
