country,R0
Afghanistan,2.4
Albania,1.8
Algeria,2.5
Andorra,3.2
Angola,1.41
Antigua and Barbuda,1.43
Argentina,2.5
Armenia,1.9
Aruba,4.15
Australia,2.3
Austria,2.2
Azerbaijan,2.3
Bahamas,3.14
Bahrain,2
Bangladesh,2.4
Barbados,1.83
Belarus,2.3
Belgium,2.1
Belize,2.69
Benin,2.6
Bermuda,1.41
Bhutan,1.4
Bolivia,2.5
Bosnia and Herzegovina,2
Botswana,1.82
Brazil,2.4
Brunei Darussalam,1.838512065
Bulgaria,1.8
Burkina Faso,1.32
Burundi,1.56
Cambodia,1.87
Cameroon,2.2
Canada,2.3
Cape Verde,1.8
Central African Republic,2.04
Chad,2.9
Chile,2.3
China,2.6
Colombia,2.2
Comoros,1.51
Congo - Brazzaville,2
Congo - Kinshasa,2
Costa Rica,2
Cote dIvoire,1.8
Croatia,3.5
Cuba,2.1
Curaçao,2
Cyprus,1.71
Czechia,2.26
Denmark,1.8
Djibouti,2.3
Dominican Republic,2.3
Ecuador,2.8
Egypt,1.9
El Salvador,1.9
Equatorial Guinea,2.4
Eritrea,1.5
Estonia,2.8
Eswatini,1.3
Ethiopia,2.3
Faroe Islands,2.75
Fiji,1.647339282
Finland,2
France,3.4
French Polynesia,5.91
Gabon,2.3
Gambia,2.22
Georgia,1.4
Germany,2.2
Ghana,1.9
Gibraltar,1.72
Greece,1.9
Guam,1.79
Guatemala,2.4
Guinea,1.9
Guinea Bissau,2.5
Guyana,1.4
Haiti,2.4
Honduras,2.1
"China, Hong Kong SAR",2.752509203
Hungary,2.32
Iceland,3.9
India,2.2
Indonesia,2
Iran,2.2
Iraq,2.1
Ireland,2.3
Israel,2.4
Italy,2.1
Jamaica,1.78
Japan,2.6
Jersey,1.33
Jordan,1.77
Kazakhstan,2.7
Kenya,2
Kiribati,1.471717343
Kosovo,2
Kuwait,2.1
Kyrgyzstan,2
Lao People's Democratic Republic,1.596029162
Latvia,3
Lebanon,2.3
Lesotho,1.73
Liberia,1.12
Libya,3.8
Liechtenstein,1.81
Lithuania,2.2
Luxembourg,2.7
Madagascar,2.6
Malawi,2.5
Malaysia,2.1
Maldives,1.9
Mali,2
Malta,2.55
Mauritania,1.9
Mexico,2.1
Moldova,2.1
Monaco,1.48
Mongolia,3.2
Montenegro,1.83
Morocco,2.1
Mozambique,1.21
Myanmar,2.51
Namibia,2.6
Nepal,2.17992436
Netherlands,2.2
New Zealand,2.706603342
Nicaragua,1.66
Niger,2.3
Nigeria,2.2
North Macedonia,3.4987
Northern Mariana Islands,1.33
Norway,2.61
Oman,2.7
Pakistan,2.2
Palestine,2.4
Panama,2.1
Papua New Guinea,2.91
Paraguay,2.3
Peru,2.3
Philippines,2.1
Poland,2.2
Portugal,2.2
Puerto Rico,1.5
Qatar,2.3
Romania,2.2
Russia,2.5
Rwanda,2.3
Samoa,1.076525619
Sao Tome and Principe,1.66
Saudi Arabia,2
Senegal,2
Serbia,2.1
Seychelles,2.146302288
Sierra Leone,1.8
Singapore,2.3
Sint Maarten,2.68
Slovakia,2.5
Slovenia,1.52
Solomon Islands,1.532266471
Somalia,2
South Africa,2.2
South Korea,2.7
South Sudan,1.9
Spain,2.4
Sri Lanka,2.05
Sudan,2.1
Suriname,2
Sweden,2.3
Switzerland,2.3
Syria,1.34
Taiwan,1.61
Tajikistan,1.7
Thailand,3.3
Timor-Leste,1.393007026
Togo,1.3
Tonga,1.271043703
Trinidad and Tobago,1.89
Tunisia,2.5
Turkey,2.2
Turks and Caicos Islands,1.63
U.S. Virgin Islands,1.82
Uganda,3
Ukraine,2.2
United Arab Emirates,2.5
United Kingdom,2.3
United Republic of Tanzania,2.7
United States of America,2.7
Uruguay,1.9
Uzbekistan,2.2
Vanuatu,1.746416717
Venezuela,2
Vietnam,2.79
Western Sahara,5.6
Yemen,2.4
Zambia,2.8
Zimbabwe,3.4
