"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","75+"
"[0,5)",3.71875,2.625,0.3125,0.15625,0.25,0.21875,1.28125,1.15625,0.5625,0.21875,0.46875,0.40625,0.375,0.28125,0.09375,0
"[5,10)",1.70588235294118,11.8823529411765,1.05882352941176,0.235294117647059,0.176470588235294,0.882352941176471,0.705882352941177,1.52941176470588,1.76470588235294,0.470588235294118,0.470588235294118,0.235294117647059,0.411764705882353,0.294117647058824,0.0588235294117647,0.176470588235294
"[10,15)",0.266666666666667,1.63333333333333,10.9,1.53333333333333,0.166666666666667,0.133333333333333,0.266666666666667,0.833333333333333,1.56666666666667,0.966666666666667,0.533333333333333,0.166666666666667,0.0333333333333333,0.133333333333333,0.366666666666667,0.0666666666666667
"[15,20)",0.1875,0.1875,2.5,9.1875,1.25,0.4375,0.4375,0.75,0.6875,1.375,0.6875,0.3125,0.0625,0.125,0.5625,0
"[20,25)",0.333333333333333,0,0.0833333333333333,0.833333333333333,2.41666666666667,1.58333333333333,2.66666666666667,1.58333333333333,0.666666666666667,0.916666666666667,0.833333333333333,0.25,0.0833333333333333,0,0,0.333333333333333
"[25,30)",0.571428571428572,0.5,0,0.285714285714286,0.571428571428572,1.85714285714286,1,0.857142857142857,1.07142857142857,0.5,1.21428571428571,0.571428571428572,0.285714285714286,0.142857142857143,0,0.214285714285714
"[30,35)",1,1.25,1.5,1.25,0.75,2.25,3.75,3,2.125,1.625,0.875,0.25,0.5,0.125,0.375,0.25
"[35,40)",0.923076923076923,1.61538461538462,1,0.0769230769230769,0.846153846153846,0.615384615384615,1,3.92307692307692,3.07692307692308,1.69230769230769,1.61538461538462,0.461538461538462,0.923076923076923,0.692307692307692,0.307692307692308,0.153846153846154
"[40,45)",3,1.14285714285714,0.714285714285714,0.571428571428572,2.28571428571429,0.857142857142857,1.71428571428571,1.28571428571429,1.85714285714286,1.28571428571429,1.14285714285714,0,0.142857142857143,0.142857142857143,0,0
"[45,50)",0,0.714285714285714,0.928571428571429,0.785714285714286,0.714285714285714,1.21428571428571,0.857142857142857,1.78571428571429,2.5,2.21428571428571,1.5,0.928571428571429,0.428571428571429,0,0.142857142857143,0.642857142857143
"[50,55)",0,0.307692307692308,0.0769230769230769,0.461538461538462,2.23076923076923,1.84615384615385,0.846153846153846,1.23076923076923,0.384615384615385,1.23076923076923,1.30769230769231,0.692307692307692,0.384615384615385,0.307692307692308,0.153846153846154,0.461538461538462
"[55,60)",0.230769230769231,0.0769230769230769,0.307692307692308,0.461538461538462,0.846153846153846,0.384615384615385,0.923076923076923,0.692307692307692,1.53846153846154,1,1.23076923076923,2.38461538461539,1.15384615384615,0.692307692307692,0,0.230769230769231
"[60,65)",0.388888888888889,0.277777777777778,0.222222222222222,0.388888888888889,0.5,0.555555555555556,0.944444444444445,1.16666666666667,0.777777777777778,0.611111111111111,1.16666666666667,1.66666666666667,1.61111111111111,0.722222222222222,0.888888888888889,0.222222222222222
"[65,70)",0.117647058823529,0.235294117647059,0.0588235294117647,0,0.294117647058824,0.411764705882353,0.176470588235294,0.588235294117647,0.647058823529412,0.352941176470588,0.235294117647059,0.705882352941177,1.11764705882353,0.823529411764706,0.588235294117647,0.411764705882353
"[70,75)",0,0.125,0.0625,0.3125,0.25,0.125,0.375,0.6875,0.875,0.75,0.375,0.5625,0.75,0.6875,1.625,0.75
"75+",0.0769230769230769,0.153846153846154,0.461538461538462,0.0769230769230769,0.230769230769231,0.384615384615385,0.538461538461539,0.384615384615385,0.692307692307692,0.615384615384615,0.461538461538462,0.538461538461539,0.230769230769231,0.615384615384615,0.615384615384615,1.38461538461538
